Associated Gene Name	Description	Gene Biotype	NA
NANOS3	nanos homolog 3 (Drosophila)	protein_coding	342977
C19orf57	chromosome 19 open reading frame 57	protein_coding	79173
CC2D1A	coiled-coil and C2 domain containing 1A	protein_coding	54862
CCDC43	coiled-coil domain containing 43	protein_coding	124808
DBF4B	DBF4 homolog B (S. cerevisiae)	protein_coding	80174
TMEM183A	transmembrane protein 183A	protein_coding	92703
TMEM183A	transmembrane protein 183A	protein_coding	92703
NUDT17	nudix (nucleoside diphosphate linked moiety X)-type motif 17	protein_coding	200035
PODNL1	podocan-like 1	protein_coding	79883
POLR3C	polymerase (RNA) III (DNA directed) polypeptide C (62kD)	protein_coding	10623
PPFIA4	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4	protein_coding	8497
ADAM11	ADAM metallopeptidase domain 11	protein_coding	4185
DCAF15	DDB1 and CUL4 associated factor 15	protein_coding	90379
RFX1	regulatory factor X, 1 (influences HLA class II expression)	protein_coding	5989
RLN3	relaxin 3	protein_coding	117579
GJC1	gap junction protein, gamma 1, 45kDa	protein_coding	10052
IL27RA	interleukin 27 receptor, alpha	protein_coding	9466
HIGD1B	HIG1 hypoxia inducible domain family, member 1B	protein_coding	51751
PALM3	paralemmin 3	protein_coding	342979
EFTUD2	elongation factor Tu GTP binding domain containing 2	protein_coding	9343
MYOG	myogenin (myogenic factor 4)	protein_coding	4656
RNF115	ring finger protein 115	protein_coding	27246
CD160	CD160 molecule	protein_coding	11126
WDR87	WD repeat domain 87	protein_coding	83889
PDZK1	PDZ domain containing 1	protein_coding	5174
SIPA1L3	signal-induced proliferation-associated 1 like 3	protein_coding	23094
ADORA1	adenosine A1 receptor	protein_coding	134
CCDC103	coiled-coil domain containing 103	protein_coding	388389
PRKACA	protein kinase, cAMP-dependent, catalytic, alpha	protein_coding	5566
GPR89A	G protein-coupled receptor 89A	protein_coding	653519
GPR89A	G protein-coupled receptor 89A	protein_coding	653519
IQCA1	IQ motif containing with AAA domain 1	protein_coding	79781
MYBPH	myosin binding protein H	protein_coding	4608
ASF1B	ASF1 anti-silencing function 1 homolog B (S. cerevisiae)	protein_coding	55723
DPF1	D4, zinc and double PHD fingers family 1	protein_coding	8193
CHI3L1	chitinase 3-like 1 (cartilage glycoprotein-39)	protein_coding	1116
LPHN1	latrophilin 1	protein_coding	22859
PIK3R3	phosphoinositide-3-kinase, regulatory subunit 3 (gamma)	protein_coding	8503
CD97	CD97 molecule	protein_coding	976
FAM187A	family with sequence similarity 187, member A	protein_coding	100528020
GFAP	glial fibrillary acidic protein	protein_coding	2670
ZNF233	zinc finger protein 233	protein_coding	353355
CHIT1	chitinase 1 (chitotriosidase)	protein_coding	1118
ZNF235	zinc finger protein 235	protein_coding	9310
KIF18B	kinesin family member 18B	protein_coding	146909
ZFP112	zinc finger protein 112 homolog (mouse)	protein_coding	7771
ZFP112	zinc finger protein 112 homolog (mouse)	protein_coding	7771
C1QL1	complement component 1, q subcomponent-like 1	protein_coding	10882
DCAKD	dephospho-CoA kinase domain containing	protein_coding	79877
ZNF229	zinc finger protein 229	protein_coding	7772
NMT1	N-myristoyltransferase 1	protein_coding	4836
NID1	nidogen 1	protein_coding	4811
PLCD3	phospholipase C, delta 3	protein_coding	113026
ZNF180	zinc finger protein 180	protein_coding	7733
IGSF23	immunoglobulin superfamily, member 23	protein_coding	147710
PVR	poliovirus receptor	protein_coding	5817
GPR89C	G protein-coupled receptor 89C	protein_coding	728932
PELP1	proline, glutamate and leucine rich protein 1	protein_coding	27043
GPR137B	G protein-coupled receptor 137B	protein_coding	7107
CEACAM19	carcinoembryonic antigen-related cell adhesion molecule 19	protein_coding	56971
CEACAM16	carcinoembryonic antigen-related cell adhesion molecule 16	protein_coding	388551
ACBD4	acyl-CoA binding domain containing 4	protein_coding	79777
ERO1LB	ERO1-like beta (S. cerevisiae)	protein_coding	56605
HEXIM1	hexamethylene bis-acetamide inducible 1	protein_coding	10614
DDX39A	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39A	protein_coding	10212
NBPF11	neuroblastoma breakpoint family, member 11	protein_coding	200030
NBPF11	neuroblastoma breakpoint family, member 11	protein_coding	200030
PKN1	protein kinase N1	protein_coding	5585
BCL3	B-cell CLL/lymphoma 3	protein_coding	602
HEXIM2	hexamethylene bis-acetamide inducible 2	protein_coding	124790
FMNL1	formin-like 1	protein_coding	752
BTG2	BTG family, member 2	protein_coding	7832
CBLC	Cbl proto-oncogene, E3 ubiquitin protein ligase C	protein_coding	23624
FMOD	fibromodulin	protein_coding	2331
EDARADD	EDAR-associated death domain	protein_coding	128178
PRELP	proline/arginine-rich end leucine-rich repeat protein	protein_coding	5549
BCAM	basal cell adhesion molecule (Lutheran blood group)	protein_coding	4059
PTGER1	prostaglandin E receptor 1 (subtype EP1), 42kDa	protein_coding	5731
OPTC	opticin	protein_coding	26254
LGALS8	lectin, galactoside-binding, soluble, 8	protein_coding	3964
GIPC1	GIPC PDZ domain containing family, member 1	protein_coding	10755
ATP2B4	ATPase, Ca++ transporting, plasma membrane 4	protein_coding	493
MAP3K14	mitogen-activated protein kinase kinase kinase 14	protein_coding	9020
DNAJB1	DnaJ (Hsp40) homolog, subfamily B, member 1	protein_coding	3337
TECR	trans-2,3-enoyl-CoA reductase	protein_coding	9524
ARHGAP27	Rho GTPase activating protein 27	protein_coding	201176
NDUFB7	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7, 18kDa	protein_coding	4713
CLEC17A	C-type lectin domain family 17, member A	protein_coding	388512
PVRL2	poliovirus receptor-related 2 (herpesvirus entry mediator B)	protein_coding	5819
TOMM40	translocase of outer mitochondrial membrane 40 homolog (yeast)	protein_coding	10452
LAX1	lymphocyte transmembrane adaptor 1	protein_coding	54900
EMR3	egf-like module containing, mucin-like, hormone receptor-like 3	protein_coding	84658
APOE	apolipoprotein E	protein_coding	348
PRKAB2	protein kinase, AMP-activated, beta 2 non-catalytic subunit	protein_coding	5565
ZC3H11A	zinc finger CCCH-type containing 11A	protein_coding	9877
APOC1	apolipoprotein C-I	protein_coding	341
APOC4	apolipoprotein C-IV	protein_coding	346
APOC4	apolipoprotein C-IV	protein_coding	346
PLEKHM1	pleckstrin homology domain containing, family M (with RUN domain) member 1	protein_coding	9842
APOC2	apolipoprotein C-II	protein_coding	344
CLPTM1	cleft lip and palate associated transmembrane protein 1	protein_coding	1209
FMO5	flavin containing monooxygenase 5	protein_coding	2330
ZNF333	zinc finger protein 333	protein_coding	84449
HEATR1	HEAT repeat containing 1	protein_coding	55127
EMR2	egf-like module containing, mucin-like, hormone receptor-like 2	protein_coding	30817
CRHR1	corticotropin releasing hormone receptor 1	protein_coding	1394
CHD1L	chromodomain helicase DNA binding protein 1-like	protein_coding	9557
ZBED6	zinc finger, BED-type containing 6	protein_coding	100381270
SNRPE	small nuclear ribonucleoprotein polypeptide E	protein_coding	6635
RELB	v-rel reticuloendotheliosis viral oncogene homolog B	protein_coding	5971
CLASRP	CLK4-associating serine/arginine rich protein	protein_coding	11129
ZNF296	zinc finger protein 296	protein_coding	162979
GEMIN7	gem (nuclear organelle) associated protein 7	protein_coding	79760
ACTN2	actinin, alpha 2	protein_coding	88
MAPT	microtubule-associated protein tau	protein_coding	4137
NKPD1	NTPase, KAP family P-loop domain containing 1	protein_coding	284353
STH	saitohin	protein_coding	246744
BCL9	B-cell CLL/lymphoma 9	protein_coding	607
ACP6	acid phosphatase 6, lysophosphatidic	protein_coding	51205
ARL17B	ADP-ribosylation factor-like 17B	protein_coding	100506084
ARL17B	ADP-ribosylation factor-like 17B	protein_coding	100506084
GJA5	gap junction protein, alpha 5, 40kDa	protein_coding	2702
GJA8	gap junction protein, alpha 8, 50kDa	protein_coding	2703
LRRC37A	leucine rich repeat containing 37A	protein_coding	9884
GPR89B	G protein-coupled receptor 89B	protein_coding	51463
GPR89B	G protein-coupled receptor 89B	protein_coding	51463
LRRC37A2	leucine rich repeat containing 37, member A2	protein_coding	474170
ARL17A	ADP-ribosylation factor-like 17A	protein_coding	51326
ARL17A	ADP-ribosylation factor-like 17A	protein_coding	51326
NSF	N-ethylmaleimide-sensitive factor	protein_coding	4905
NBPF24	neuroblastoma breakpoint family, member 24	protein_coding	728912
PPIAL4A	peptidylprolyl isomerase A (cyclophilin A)-like 4A	protein_coding	164022
PPIAL4A	peptidylprolyl isomerase A (cyclophilin A)-like 4A	protein_coding	164022
PPIAL4A	peptidylprolyl isomerase A (cyclophilin A)-like 4A	protein_coding	164022
SARS	seryl-tRNA synthetase	protein_coding	6301
NBPF14	neuroblastoma breakpoint family, member 14	protein_coding	25832
WNT3	wingless-type MMTV integration site family, member 3	protein_coding	7473
RXFP4	relaxin/insulin-like family peptide receptor 4	protein_coding	339403
WNT9B	wingless-type MMTV integration site family, member 9B	protein_coding	7484
ARHGEF2	Rho/Rac guanine nucleotide exchange factor (GEF) 2	protein_coding	9181
CELSR2	cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)	protein_coding	1952
GOSR2	golgi SNAP receptor complex member 2	protein_coding	9570
PPIAL4D	peptidylprolyl isomerase A (cyclophilin A)-like 4D	protein_coding	645142
PPIAL4D	peptidylprolyl isomerase A (cyclophilin A)-like 4D	protein_coding	645142
PPIAL4D	peptidylprolyl isomerase A (cyclophilin A)-like 4D	protein_coding	645142
NBPF20	neuroblastoma breakpoint family, member 20	protein_coding	641590
NBPF20	neuroblastoma breakpoint family, member 20	protein_coding	641590
PSRC1	proline/serine-rich coiled-coil 1	protein_coding	84722
CD300A	CD300a molecule	protein_coding	11314
C17orf78	chromosome 17 open reading frame 78	protein_coding	284099
TADA2A	transcriptional adaptor 2A	protein_coding	6871
RPRML	reprimo-like	protein_coding	388394
CDC27	cell division cycle 27 homolog (S. cerevisiae)	protein_coding	996
DUSP14	dual specificity phosphatase 14	protein_coding	11072
CD300LB	CD300 molecule-like family member b	protein_coding	124599
SYNRG	synergin, gamma	protein_coding	11276
NBPF15	neuroblastoma breakpoint family, member 15	protein_coding	284565
MYBPHL	myosin binding protein H-like	protein_coding	343263
SORT1	sortilin 1	protein_coding	6272
NBPF16	neuroblastoma breakpoint family, member 16	protein_coding	728936
NBPF16	neuroblastoma breakpoint family, member 16	protein_coding	728936
NBPF16	neuroblastoma breakpoint family, member 16	protein_coding	728936
MYL4	myosin, light chain 4, alkali; atrial, embryonic	protein_coding	4635
PPIAL4C	peptidylprolyl isomerase A (cyclophilin A)-like 4C	protein_coding	653598
PPIAL4C	peptidylprolyl isomerase A (cyclophilin A)-like 4C	protein_coding	653598
PPIAL4C	peptidylprolyl isomerase A (cyclophilin A)-like 4C	protein_coding	653598
DDX52	DEAD (Asp-Glu-Ala-Asp) box polypeptide 52	protein_coding	11056
FCGR1A	Fc fragment of IgG, high affinity Ia, receptor (CD64)	protein_coding	2209
FCGR1A	Fc fragment of IgG, high affinity Ia, receptor (CD64)	protein_coding	2209
ITGB3	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	protein_coding	3690
PSMA5	proteasome (prosome, macropain) subunit, alpha type, 5	protein_coding	5686
HIST2H2BF	histone cluster 2, H2bf	protein_coding	440689
HNF1B	HNF1 homeobox B	protein_coding	6928
HIST2H3D	histone cluster 2, H3d	protein_coding	653604
HIST2H3D	histone cluster 2, H3d	protein_coding	653604
HIST2H3D	histone cluster 2, H3d	protein_coding	653604
HIST2H4A	histone cluster 2, H4a	protein_coding	8370
HIST2H4A	histone cluster 2, H4a	protein_coding	8370
HIST2H4A	histone cluster 2, H4a	protein_coding	8370
HIST2H4A	histone cluster 2, H4a	protein_coding	8370
HIST2H4A	histone cluster 2, H4a	protein_coding	8370
HIST2H4A	histone cluster 2, H4a	protein_coding	8370
HIST2H4A	histone cluster 2, H4a	protein_coding	8370
HIST2H4A	histone cluster 2, H4a	protein_coding	8370
HIST2H4A	histone cluster 2, H4a	protein_coding	8370
HIST2H4A	histone cluster 2, H4a	protein_coding	8370
HIST2H4A	histone cluster 2, H4a	protein_coding	8370
HIST2H4A	histone cluster 2, H4a	protein_coding	8370
HIST2H4A	histone cluster 2, H4a	protein_coding	8370
HIST2H4A	histone cluster 2, H4a	protein_coding	8370
C17orf57	chromosome 17 open reading frame 57	protein_coding	124989
SYPL2	synaptophysin-like 2	protein_coding	284612
ATXN7L2	ataxin 7-like 2	protein_coding	127002
TBC1D3F	TBC1 domain family, member 3F	protein_coding	84218
HIST2H3C	histone cluster 2, H3c	protein_coding	126961
HIST2H3C	histone cluster 2, H3c	protein_coding	126961
HIST2H3C	histone cluster 2, H3c	protein_coding	126961
HIST2H2AA3	histone cluster 2, H2aa3	protein_coding	8337
HIST2H2AA3	histone cluster 2, H2aa3	protein_coding	8337
HIST2H2AA4	histone cluster 2, H2aa4	protein_coding	723790
HIST2H2AA4	histone cluster 2, H2aa4	protein_coding	723790
HIST2H3A	histone cluster 2, H3a	protein_coding	333932
HIST2H3A	histone cluster 2, H3a	protein_coding	333932
HIST2H3A	histone cluster 2, H3a	protein_coding	333932
HIST2H4B	histone cluster 2, H4b	protein_coding	554313
HIST2H4B	histone cluster 2, H4b	protein_coding	554313
HIST2H4B	histone cluster 2, H4b	protein_coding	554313
HIST2H4B	histone cluster 2, H4b	protein_coding	554313
HIST2H4B	histone cluster 2, H4b	protein_coding	554313
HIST2H4B	histone cluster 2, H4b	protein_coding	554313
HIST2H4B	histone cluster 2, H4b	protein_coding	554313
HIST2H4B	histone cluster 2, H4b	protein_coding	554313
HIST2H4B	histone cluster 2, H4b	protein_coding	554313
HIST2H4B	histone cluster 2, H4b	protein_coding	554313
HIST2H4B	histone cluster 2, H4b	protein_coding	554313
HIST2H4B	histone cluster 2, H4b	protein_coding	554313
HIST2H4B	histone cluster 2, H4b	protein_coding	554313
HIST2H4B	histone cluster 2, H4b	protein_coding	554313
HIST2H2BE	histone cluster 2, H2be	protein_coding	8349
BOLA1	bolA homolog 1 (E. coli)	protein_coding	51027
HIST2H2AC	histone cluster 2, H2ac	protein_coding	8338
HIST2H2AB	histone cluster 2, H2ab	protein_coding	317772
SV2A	synaptic vesicle glycoprotein 2A	protein_coding	9900
CYB561D1	cytochrome b-561 domain containing 1	protein_coding	284613
AMIGO1	adhesion molecule with Ig-like domain 1	protein_coding	57463
NPEPPS	aminopeptidase puromycin sensitive	protein_coding	9520
GPR61	G protein-coupled receptor 61	protein_coding	83873
TBC1D3	TBC1 domain family, member 3	protein_coding	729873
TBC1D3	TBC1 domain family, member 3	protein_coding	729873
GNAI3	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3	protein_coding	2773
GNAT2	guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 2	protein_coding	2780
SF3B4	splicing factor 3b, subunit 4, 49kDa	protein_coding	10262
AMPD2	adenosine monophosphate deaminase 2	protein_coding	271
MTMR11	myotubularin related protein 11	protein_coding	10903
OTUD7B	OTU domain containing 7B	protein_coding	56957
KPNB1	karyopherin (importin) beta 1	protein_coding	3837
TBKBP1	TBK1 binding protein 1	protein_coding	9755
TBX21	T-box 21	protein_coding	30009
VPS45	vacuolar protein sorting 45 homolog (S. cerevisiae)	protein_coding	11311
MRPL45	mitochondrial ribosomal protein L45	protein_coding	84311
OSBPL7	oxysterol binding protein-like 7	protein_coding	114881
MRPL10	mitochondrial ribosomal protein L10	protein_coding	124995
LRRC46	leucine rich repeat containing 46	protein_coding	90506
SCRN2	secernin 2	protein_coding	90507
SP6	Sp6 transcription factor	protein_coding	80320
SP2	Sp2 transcription factor	protein_coding	6668
PLEKHO1	pleckstrin homology domain containing, family O member 1	protein_coding	51177
PNPO	pyridoxamine 5'-phosphate oxidase	protein_coding	55163
PRR15L	proline rich 15-like	protein_coding	79170
CDK5RAP3	CDK5 regulatory subunit associated protein 3	protein_coding	80279
COPZ2	coatomer protein complex, subunit zeta 2	protein_coding	51226
ANP32E	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	protein_coding	81611
NFE2L1	nuclear factor (erythroid-derived 2)-like 1	protein_coding	4779
CBX1	chromobox homolog 1	protein_coding	10951
SNX11	sorting nexin 11	protein_coding	29916
SKAP1	src kinase associated phosphoprotein 1	protein_coding	8631
CA14	carbonic anhydrase XIV	protein_coding	23632
HOXB1	homeobox B1	protein_coding	3211
HOXB2	homeobox B2	protein_coding	3212
APH1A	anterior pharynx defective 1 homolog A (C. elegans)	protein_coding	51107
HOXB3	homeobox B3	protein_coding	3213
CNIH4	cornichon homolog 4 (Drosophila)	protein_coding	29097
PPP1R14A	protein phosphatase 1, regulatory (inhibitor) subunit 14A	protein_coding	94274
SPINT2	serine peptidase inhibitor, Kunitz type, 2	protein_coding	10653
WDR26	WD repeat domain 26	protein_coding	80232
YIF1B	Yip1 interacting factor homolog B (S. cerevisiae)	protein_coding	90522
C19orf33	chromosome 19 open reading frame 33	protein_coding	64073
KCNK6	potassium channel, subfamily K, member 6	protein_coding	9424
CATSPERG	catsper channel auxiliary subunit gamma	protein_coding	57828
CNIH3	cornichon homolog 3 (Drosophila)	protein_coding	149111
DNAH14	dynein, axonemal, heavy chain 14	protein_coding	127602
PSMD8	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	protein_coding	5714
